,recipe_name,recipe_url,author,cuisine,description,rating,total_time,yield,serving_size,ingredient,calories,sugar,sodium,fat,saturated_fat,carbohydrates,fiber,protein,meal
0,"[<h1 class=""entry-title"" itemprop=""headline"">Patatas al Horno</h1>]",https://danzadefogones.com/patatas-al-horno/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Iosune</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Americana</span>]","[<p>Patatas al horno, una guarnición deliciosa, hecha con patatas, aceite, hierbas y especias. Es una receta fácil y sencilla y puedes adaptarla a tu gusto.</p>]","[<span class=""average"">4.9</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">35 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""2"">2</span> <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1/2 de la receta</span>]","[<li><span data-amount=""450"" data-unit=""g"">450 g</span> de patatas (<span data-amount=""1"">1</span> libra), peladas y en dados</li>, <li><span data-amount=""1"">1</span>–<span data-amount=""2"">2</span> cucharadas de aceite de oliva virgen extra</li>, <li><span data-amount=""2"">2</span> cucharaditas de <a href=""https://danzadefogones.com/condimento-italiano/"" rel="""">condimento italiano</a></li>, <li><span data-amount=""0.5"">1/2</span> cucharadita de sal</li>, <li><span data-amount=""0.5"">1/2</span> cucharadita de ajo en polvo</li>, <li><span data-amount=""0.5"">1/2</span> cucharadita de pimentón</li>, <li><span data-amount=""0.125"">1/8</span> cucharadita de pimienta negra molida</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">219</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">2,8 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">595 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">7,3 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">1,1 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">36,2 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">5,7 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">4 g</span>]",breakfast
1,"[<h1 class=""entry-title"" itemprop=""headline"">Pancakes Veganos</h1>]",https://danzadefogones.com/pancakes-veganos/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Iosune </span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Vegana, Americana</span>]","[<p>Pancakes veganos, un desayuno o postre delicioso que se prepara en menos de 20 minutos con 8 ingredientes fáciles de conseguir. ¡Son muy esponjosos!</p>]","[<span class=""average"">4.9</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">20 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""6"">6</span> pancakes <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1 pancake (sin toppings)</span>]","[<li><span data-amount=""1""><span data-amount=""1"">1</span></span> taza de harina de trigo integral (<span data-amount=""120"">120</span> g)</li>, <li><span data-amount=""2""><span data-amount=""2"">2</span></span> cucharadas de azúcar moreno, de coco o panela</li>, <li><span data-amount=""2""><span data-amount=""2"">2</span></span> cucharaditas de levadura</li>, <li><span data-amount=""0.25""><span data-amount=""0.25"">1/4</span></span> cucharadita de sal</li>, <li><span data-amount=""0.75""><span data-amount=""0.75"">3/4</span></span> taza de <a href=""https://danzadefogones.com/9-recetas-de-leches-vegetales/"" rel="""" style=""background-color: transparent;color: #ff7094"">leche vegetal</a> (<span data-amount=""190"">190</span> ml), yo usé <a href=""https://danzadefogones.com/leche-de-soja/"" rel="""" style=""background-color: transparent;color: #ff7094"">leche de soja</a></li>, <li><span data-amount=""1""><span data-amount=""1"">1</span></span> <a href=""https://danzadefogones.com/huevo-de-lino/"" rel=""noopener"" style=""background-color: transparent;color: #ff7094"" target=""_blank"">huevo de lino</a></li>, <li><span data-amount=""1""><span data-amount=""1"">1</span></span> cucharada de aceite, yo usé aceite de coco derretido (opcional)</li>, <li><span data-amount=""1""><span data-amount=""1"">1</span></span> cucharadita de <a href=""https://danzadefogones.com/extracto-de-vainilla-casero/"" rel="""" style=""background-color: transparent;color: #ff7094"">extracto de vainilla</a> (opcional)</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">124</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">3,6 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">105 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">3,7 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">2,4 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">20,2 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">3,1 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">3,9 g</span>]",breakfast
2,"[<h1 class=""entry-title"" itemprop=""headline"">Compota de Frutos Rojos</h1>]",https://danzadefogones.com/compota-de-frutos-rojos/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Iosune</span>]",[],"[<p><span style=""font-weight: 400"">Compota de frutos rojos, dulce, deliciosa y afrutada. Es muy nutritiva, solo requiere de 4 ingredientes y se hace en 20 minutos.</span></p>]","[<span class=""average"">5</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">20 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""4"">4</span>–<span data-amount=""6"">6</span> <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1/6 de la receta</span>]","[<li style=""font-weight: 400""><span style=""font-weight: 400""><span data-amount=""1"">1</span> taza de fresas (150 g), troceadas</span></li>, <li style=""font-weight: 400""><span style=""font-weight: 400""><span data-amount=""1"">1</span> taza de arándanos (150 g)</span></li>, <li style=""font-weight: 400""><span style=""font-weight: 400""><span data-amount=""2"">2</span> cucharadas de zumo de naranja</span></li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">24</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">4 g</span>]",[],"[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">0,2 g</span>]",[],"[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">5,9 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">1,1 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">0,4 g</span>]",breakfast
3,"[<h1 class=""entry-title"" itemprop=""headline"">Brownie Vegano</h1>]",https://danzadefogones.com/brownie-vegano/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Iosune</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Americana, Vegana</span>]","[<p>Brownie vegano, una versión 100% vegetal de este clásico y delicioso postre. Además, es jugoso por dentro, más sano y muy fácil de preparar.</p>]","[<span class=""average"">5</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">50 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""16"">16</span> <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1 trozo de 16</span>]","[<li><span data-amount=""1"">1</span> taza de <a href=""https://danzadefogones.com/9-recetas-de-leches-vegetales/"" rel="""">leche vegetal</a> sin endulzar (<span data-amount=""250"">250</span> ml), yo usé <a href=""https://danzadefogones.com/leche-de-soja/"" rel="""">leche de soja</a></li>, <li><span data-amount=""0.75"">3/4</span> taza de aceite de coco (<span data-amount=""200"">200</span> ml), derretido</li>, <li><span data-amount=""2"">2</span> tazas de azúcar moreno, de caña o de coco (<span data-amount=""360"" data-unit=""g"">360 g</span>)</li>, <li><span data-amount=""4"">4</span> <a href=""https://danzadefogones.com/huevo-lino-linaza/"" rel="""">huevos de lino</a></li>, <li><span data-amount=""2"">2</span> cucharaditas de <a href=""https://danzadefogones.com/extracto-de-vainilla-casero/"" rel="""">extracto de vainilla</a> (opcional)</li>, <li><span data-amount=""0.5"">1/2</span> cucharadita de sal</li>, <li><span data-amount=""1"">1</span> taza de cacao en polvo sin azúcar (<span data-amount=""80"" data-unit=""g"">80 g</span>)</li>, <li><span data-amount=""1"">1</span> taza de harina de trigo integral (<span data-amount=""120"" data-unit=""g"">120 g</span>)</li>, <li><span data-amount=""1"">1</span> taza de chips de chocolate (<span data-amount=""180"" data-unit=""g"">180 g</span>) + 2 cucharadas para decorar, (opcional)</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">251</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">22,4 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">83 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">14,3 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">12,6 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">30,9 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">3,4 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">3 g</span>]",breakfast
4,"[<h1 class=""entry-title"" itemprop=""headline"">Gofres Veganos</h1>]",https://danzadefogones.com/gofres-veganos/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Iosune</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Americana, Vegana</span>]","[<p>Gofres veganos, perfectos para desayunar o como postre o snack si quieres darte un capricho. Puedes añadir tus toppings preferidos.</p>]",[],"[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">25 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""3"">3</span> gofres redondos <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1/2 gofre grande ó 1 pequeño</span>]","[<li><span data-amount=""2"">2</span> tazas de harina de trigo integral (<span data-amount=""240"" data-unit=""g"">240 g</span>)</li>, <li><span data-amount=""0.25"">1/4</span> taza de azúcar moreno, de caña o de coco  (<span data-amount=""45"" data-unit=""g"">45 g</span> ó 4 cucharadas)</li>, <li><span data-amount=""1"">1</span> cucharada de levadura química</li>, <li><span data-amount=""0.5"">1/2</span> cucharadita de sal</li>, <li><span data-amount=""1"">1</span> y 1/2 tazas de <a href=""https://danzadefogones.com/9-recetas-de-leches-vegetales/"" rel="""">leche vegetal</a> sin endulzar (<span data-amount=""375"">375</span> ml), yo usé <a href=""https://danzadefogones.com/leche-de-soja/"">leche de soja</a></li>, <li><span data-amount=""0.33333333333333"">1/3</span> taza de aceite (<span data-amount=""85"">85</span> ml), yo usé aceite de coco derretido</li>, <li><span data-amount=""2"">2</span> <a href=""https://danzadefogones.com/huevo-de-lino/"">huevos de lino</a></li>, <li><span data-amount=""2"">2</span> cucharaditas de <a href=""https://danzadefogones.com/extracto-de-vainilla-casero/"">extracto de vainilla</a>, opcional</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">339</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">8,2 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">202 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">17,7 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">13,9 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">39 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">6,8 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">9 g</span>]",breakfast
5,"[<h1 class=""entry-title"" itemprop=""headline"">Galletas Veganas con Chispas de Chocolate</h1>]",https://danzadefogones.com/galletas-veganas-con-chispas-de-chocolate/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Danza de Fogones</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Vegana, Americana</span>]","[<p>Galletas veganas con chispas de chocolate, se preparan solamente con 9 ingredientes y son crujientes por fuera y blanditas por dentro. ¡Están riquísimas!</p>, <p> </p>]","[<span class=""average"">4.9</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">30 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""24"">24</span> galletas <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1 galleta</span>]","[<li><span data-amount=""2"">2</span> y 1/2 tazas de harina integral de trigo (<span data-amount=""375"" data-unit=""g"">375 g</span>)</li>, <li><span data-amount=""1"">1</span> taza de azúcar moreno, de coco o panela (<span data-amount=""180"" data-unit=""g"">180 g</span>)</li>, <li><span data-amount=""0.5"">1/2</span> cucharadita de bicarbonato</li>, <li><span data-amount=""0.25"">1/4</span> cucharadita de sal (opcional)</li>, <li><span data-amount=""0.5"">1/2</span> taza de <a href=""https://danzadefogones.com/9-recetas-de-leches-vegetales/"" rel="""">leche vegetal</a> sin endulzar (<span data-amount=""125"">125</span> ml), yo usé <a href=""https://danzadefogones.com/leche-de-soja/"" rel="""">leche de soja</a></li>, <li><span data-amount=""0.25"">1/4</span> taza de aceite de coco (<span data-amount=""65"">65</span> ml), derretido</li>, <li><span data-amount=""2"">2</span> <a href=""https://danzadefogones.com/huevo-de-lino/"" rel="""">huevos de lino</a></li>, <li><span data-amount=""1"">1</span> cucharadita de <a href=""https://danzadefogones.com/extracto-de-vainilla-casero/"" rel=""noopener"" target=""_blank"">extracto de vainilla</a> (opcional)</li>, <li><span data-amount=""0.75"">3/4</span> taza de chispas de chocolate veganas (<span data-amount=""130"" data-unit=""g"">130 g</span>)</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">132</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">7,6 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">53 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">4,3 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">3,2 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">22,1 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">2,1 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">2,6 g</span>]",breakfast
6,"[<h1 class=""entry-title"" itemprop=""headline"">Pan de Maíz Vegano</h1>]",https://danzadefogones.com/pan-de-maiz-vegano/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Iosune</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Vegana, Americana</span>]","[<p>Pan de maíz vegano, es muy esponjoso y crujiente. Perfecto como guarnición o para desayunar. Sólo se necesita un bol y está listo en unos 35 minutos.</p>]","[<span class=""average"">5</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">35 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""9"">9</span> <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1/9 de la receta</span>]","[<li><span data-amount=""1"">1</span> taza de harina blanca (<span data-amount=""125"" data-unit=""g"">125 g</span>)</li>, <li><span data-amount=""1"">1</span> taza de polenta o harina de maíz amarilla (<span data-amount=""125"" data-unit=""g"">125 g</span>)</li>, <li><span data-amount=""0.5"">1/2</span> taza de azúcar moreno, de caña o de coco (<span data-amount=""90"" data-unit=""g"">90 g</span>)</li>, <li><span data-amount=""0.25"">1/4</span> cucharadita de sal</li>, <li><span data-amount=""0.5"">1/2</span> cucharadita de bicarbonato</li>, <li><span data-amount=""1"">1</span> cucharada de levadura química</li>, <li><span data-amount=""0.25"">1/4</span> taza de <a href=""https://danzadefogones.com/mantequilla-vegana/"">mantequilla derretida</a> o aceite (<span data-amount=""65"">65</span> ml ó <span data-amount=""4"">4</span> cucharadas)</li>, <li><span data-amount=""2"">2</span> <a href=""https://danzadefogones.com/huevo-de-lino/"">huevos de lino</a></li>, <li><a href=""https://danzadefogones.com/buttermilk-vegano/"">Buttermilk vegano</a> (toda la receta), ver notas</li>, <li><span data-amount=""0.33333333333333"">1/3</span> taza de <a href=""https://danzadefogones.com/9-recetas-de-leches-vegetales/"">leche vegetal</a> sin endulzar (<span data-amount=""85"">85</span> ml), yo usé <a href=""https://danzadefogones.com/leche-de-soja/"">leche de soja</a></li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">217</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">8,5 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">193 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">6,7 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">1,2 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">34,7 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">2,1 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">4,9 g</span>]",breakfast
7,"[<h1 class=""entry-title"" itemprop=""headline"">Brownie de Alubias</h1>]",https://danzadefogones.com/brownie-de-alubias/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Danza de Fogones</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Americana, Vegana</span>]","[<p>Brownie de alubias, un postre delicioso que está hecho con alubias en vez de con harina. No lleva gluten y es muy fácil de preparar.</p>]","[<span class=""average"">5</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">45 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""9"">9</span> <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1/9 de la receta</span>]","[<li><span data-amount=""1"">1</span> y 1/2 tazas de alubias negras (<span data-amount=""250"" data-unit=""g"">250 g</span>), cocinadas o de bote, ver notas</li>, <li><span data-amount=""2""><span data-amount=""1"">1</span></span> taza de azúcar moreno, de caña o de coco (<span data-amount=""360"">180</span>g)</li>, <li><span data-amount=""0.5"">1/2</span> taza de cacao en polvo sin azúcar (<span data-amount=""40"" data-unit=""g"">40 g</span>)</li>, <li><span data-amount=""0.25"">1/4</span> taza de aceite de coco (<span data-amount=""4"">4</span> cucharadas ó <span data-amount=""65"">65</span> ml), derretido</li>, <li><span data-amount=""1"">1</span> cucharadita de <a href=""https://danzadefogones.com/extracto-de-vainilla-casero/"">extracto de vainilla</a>, opcional</li>, <li><span data-amount=""1"">1</span> cucharadita de levadura</li>, <li><span data-amount=""0.25"">1/4</span> cucharadita de sal</li>, <li><span data-amount=""2"">2</span> <a href=""https://danzadefogones.com/huevo-lino-linaza/"">huevos de lino</a></li>, <li><span data-amount=""2"">2</span> cucharadas de chips de chocolate, opcional</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">189</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">19,9 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">77 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">7,5 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">5,7 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">29,8 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">4,5 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">3,7 g</span>]",breakfast
8,"[<h1 class=""entry-title"" itemprop=""headline"">Pan de Plátano Vegano</h1>]",https://danzadefogones.com/pan-de-platano-vegano/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Danza de Fogones</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Americana, Vegana</span>]","[<p>Pan de plátano vegano, un desayuno o postre delicioso, preparado con ingredientes fáciles de encontrar. Es dulce, jugoso y el mejor que he probado nunca.</p>]","[<span class=""average"">4.9</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">1 hora 25 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""12"">12</span> rebanadas <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1 rebanada de 12</span>]","[<li><span data-amount=""3"">3</span> bananas muy maduras (1 y 1/2 tazas ó <span data-amount=""365"" data-unit=""g"">365 g</span> machacadas)</li>, <li><span data-amount=""2"">2</span> tazas de harina de trigo integral (<span data-amount=""240"" data-unit=""g"">240 g</span>)</li>, <li><span data-amount=""0.75"">3/4</span> taza de azúcar moreno, de caña o de coco (<span data-amount=""135"" data-unit=""g"">135 g</span>)</li>, <li><span data-amount=""1"">1</span> cucharadita de canela en polvo</li>, <li><span data-amount=""1"">1</span> cucharadita de bicarbonato</li>, <li><span data-amount=""0.25"">1/4</span> cucharadita de sal</li>, <li><span data-amount=""1"">1</span> <a href=""https://danzadefogones.com/huevo-lino-linaza/"">huevo de lino</a></li>, <li><span data-amount=""0.5"">1/2</span> taza de <a href=""https://danzadefogones.com/9-recetas-de-leches-vegetales/"">leche vegetal</a> sin endulzar (<span data-amount=""125"">125</span> ml), yo usé <a href=""https://danzadefogones.com/leche-de-soja/"">leche de soja</a></li>, <li><span data-amount=""0.33333333333333"">1/3</span> taza de aceite de coco derretido (<span data-amount=""85"">85</span> ml)</li>, <li><span data-amount=""1"">1</span> cucharadita de <a href=""https://danzadefogones.com/extracto-de-vainilla-casero/"">extracto de vainilla</a>, opcional</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">204</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">13,2 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">159 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">8 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">7 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">31,7 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">3,7 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">3,7 g</span>]",breakfast
9,"[<h1 class=""entry-title"" itemprop=""headline"">Açai Bowl</h1>]",https://danzadefogones.com/acai-bowl/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Danza de Fogones</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Brasileña</span>]","[<p>Açai bowl, un desayuno, snack o postre saludable. Sólo requiere 3 ó 4 ingredientes y se prepara en 5 minutos. Disfrútalo con tus toppings preferidos.</p>]","[<span class=""average"">5</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">5 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""1"">1</span>–<span data-amount=""2"">2</span> <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1/2 de la receta sin los toppings</span>]","[<li><span data-amount=""100"" data-unit=""g"">100 g</span> de pulpa de açai congelada (3,<span data-amount=""5"" data-unit=""oz"">5 oz</span>), ver notas</li>, <li> 2 bananas grandes congeladas</li>, <li><span data-amount=""0.5"">1/2</span> taza de <a href=""https://danzadefogones.com/9-recetas-de-leches-vegetales/"">leche vegetal</a> sin endulzar (<span data-amount=""125"">125</span> ml), yo usé <a href=""https://danzadefogones.com/leche-de-almendras/"">leche de almendras</a></li>, <li><span data-amount=""2"">2</span> dátiles Medjool (opcional)</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">237</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">32,6 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">54 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">3.6 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">0.9 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">52.4 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">6.6 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">2.8 g</span>]",breakfast
